web-scraper-order,web-scraper-start-url,unit-codes,unit-codes-href,prereqs
"1560436998-923","http://handbook.mq.edu.au/2019/Units/UGByCode","MECH420 - Mechatronic Engineering Research Thesis A","http://handbook.mq.edu.au/2019/Units/UGUnit/MECH420","ELEC324"
"1560437962-1935","http://handbook.mq.edu.au/2019/Units/UGByCode","ELEC295 - Fundamentals of Energy Conversion and Storage","http://handbook.mq.edu.au/2019/Units/UGUnit/ELEC295","PHYS140"
"1560437669-1571","http://handbook.mq.edu.au/2019/Units/UGByCode","GEOP350 - Geographies of Health","http://handbook.mq.edu.au/2019/Units/UGUnit/GEOP350","null"
"1560437833-1746","http://handbook.mq.edu.au/2019/Units/UGByCode","ENGL307 - Creative Writing 3: Narrative Fiction","http://handbook.mq.edu.au/2019/Units/UGUnit/ENGL307","MAS202"
"1560436230-192","http://handbook.mq.edu.au/2019/Units/UGByCode","SSCI301 - Professional Social Research Project","http://handbook.mq.edu.au/2019/Units/UGUnit/SSCI301","SSCI100"
"1560437685-1588","http://handbook.mq.edu.au/2019/Units/UGByCode","GEOP201 - Critical Perspectives on space and place: theory and practice","http://handbook.mq.edu.au/2019/Units/UGUnit/GEOP201","GEOP111"
"1560438894-2989","http://handbook.mq.edu.au/2019/Units/UGByCode","ACCG358 - Information Systems Audit and Assurance","http://handbook.mq.edu.au/2019/Units/UGUnit/ACCG358","ACCG250"
"1560437759-1635","http://handbook.mq.edu.au/2019/Units/UGByCode","FOAR302 - Special Interest Unit 2","http://handbook.mq.edu.au/2019/Units/UGUnit/FOAR302","null"
"1560438383-2420","http://handbook.mq.edu.au/2019/Units/UGByCode","CHN265 - Intermediate Chinese Short Term Residential Program","http://handbook.mq.edu.au/2019/Units/UGUnit/CHN265","null"
"1560436152-68","http://handbook.mq.edu.au/2019/Units/UGByCode","TEP429 - Mathematics in the Secondary School I","http://handbook.mq.edu.au/2019/Units/UGUnit/TEP429","EDUC258"
"1560437441-1378","http://handbook.mq.edu.au/2019/Units/UGByCode","ITL203 - Readings in Italian","http://handbook.mq.edu.au/2019/Units/UGUnit/ITL203","ITL103"
"1560436304-276","http://handbook.mq.edu.au/2019/Units/UGByCode","SOC346 - Profit, Protest, Policy: Changes in Market Society","http://handbook.mq.edu.au/2019/Units/UGUnit/SOC346","SOC352"
