web-scraper-order,web-scraper-start-url,unit-codes,unit-codes-href,prereqs
"1560438429-2468","http://handbook.mq.edu.au/2019/Units/UGByCode","CHIR114 - Chiropractic Sciences 2","http://handbook.mq.edu.au/2019/Units/UGUnit/CHIR114","CHIR103"
"1560436607-611","http://handbook.mq.edu.au/2019/Units/UGByCode","PHYS143 - Physics IB","http://handbook.mq.edu.au/2019/Units/UGUnit/PHYS143","PHYS140"
"1560437498-1422","http://handbook.mq.edu.au/2019/Units/UGByCode","INTS206 - Screening Europe: Cinema and Identity","http://handbook.mq.edu.au/2019/Units/UGUnit/INTS206","null"
"1560438136-2158","http://handbook.mq.edu.au/2019/Units/UGByCode","ECON203 - Microeconomic Analysis","http://handbook.mq.edu.au/2019/Units/UGUnit/ECON203","ECON111"
"1560437461-1400","http://handbook.mq.edu.au/2019/Units/UGByCode","ISYS224 - Database Systems","http://handbook.mq.edu.au/2019/Units/UGUnit/ISYS224","null"
"1560438166-2196","http://handbook.mq.edu.au/2019/Units/UGByCode","ECHE330 - PDPHE/HSIE","http://handbook.mq.edu.au/2019/Units/UGUnit/ECHE330","ECH130"
"1560437258-1200","http://handbook.mq.edu.au/2019/Units/UGByCode","LAWS553 - Taxation","http://handbook.mq.edu.au/2019/Units/UGUnit/LAWS553","BUSL251"
"1560437054-1039","http://handbook.mq.edu.au/2019/Units/UGByCode","MATH235 - Mathematics IIA","http://handbook.mq.edu.au/2019/Units/UGUnit/MATH235","null"
"1560437976-1966","http://handbook.mq.edu.au/2019/Units/UGByCode","ELEC240 - Signals and Systems","http://handbook.mq.edu.au/2019/Units/UGUnit/ELEC240","MATH133"
"1560438423-2449","http://handbook.mq.edu.au/2019/Units/UGByCode","CHIR315 - Chiropractic Science 5","http://handbook.mq.edu.au/2019/Units/UGUnit/CHIR315","CHIR213"
"1560436865-803","http://handbook.mq.edu.au/2019/Units/UGByCode","MGMT321 - Business Analytics Project","http://handbook.mq.edu.au/2019/Units/UGUnit/MGMT321","MGMT320"
"1560438738-2831","http://handbook.mq.edu.au/2019/Units/UGByCode","AHIS310 - Early Rome","http://handbook.mq.edu.au/2019/Units/UGUnit/AHIS310","AHST103"
"1560438680-2777","http://handbook.mq.edu.au/2019/Units/UGByCode","AHIS373 - Egypt in the New Kingdom","http://handbook.mq.edu.au/2019/Units/UGUnit/AHIS373","AHST360"
"1560436144-54","http://handbook.mq.edu.au/2019/Units/UGByCode","TEP440 - Society and Culture in the Secondary School I","http://handbook.mq.edu.au/2019/Units/UGUnit/TEP440","TEP421"
"1560436418-344","http://handbook.mq.edu.au/2019/Units/UGByCode","PSY354 - Clinical and Experimental Neuroscience","http://handbook.mq.edu.au/2019/Units/UGUnit/PSY354","BIOL115"
"1560438666-2759","http://handbook.mq.edu.au/2019/Units/UGByCode","AHIS394 - Field Methods of Archaeology","http://handbook.mq.edu.au/2019/Units/UGUnit/AHIS394","AHIS190"
"1560438012-1991","http://handbook.mq.edu.au/2019/Units/UGByCode","EDUC289 - Human Society and its Environment","http://handbook.mq.edu.au/2019/Units/UGUnit/EDUC289","EDUC105"
"1560438417-2442","http://handbook.mq.edu.au/2019/Units/UGByCode","CHN104 - Introductory Chinese I","http://handbook.mq.edu.au/2019/Units/UGUnit/CHN104","null"
"1560437335-1301","http://handbook.mq.edu.au/2019/Units/UGByCode","LAWS216 - Property Law","http://handbook.mq.edu.au/2019/Units/UGUnit/LAWS216","null"
"1560438287-2306","http://handbook.mq.edu.au/2019/Units/UGByCode","COMP434 - Advanced Software Engineering","http://handbook.mq.edu.au/2019/Units/UGUnit/COMP434","null"
"1560438427-2463","http://handbook.mq.edu.au/2019/Units/UGByCode","CHIR213 - Chiropractic Sciences 3","http://handbook.mq.edu.au/2019/Units/UGUnit/CHIR213","CHIR114"
"1560437292-1244","http://handbook.mq.edu.au/2019/Units/UGByCode","LAWS516 - European Law","http://handbook.mq.edu.au/2019/Units/UGUnit/LAWS516","null"
"1560438638-2742","http://handbook.mq.edu.au/2019/Units/UGByCode","ANTH222 - Stuff Happens: Anthropological Approaches to Global Capitalism","http://handbook.mq.edu.au/2019/Units/UGUnit/ANTH222","null"
"1560437563-1472","http://handbook.mq.edu.au/2019/Units/UGByCode","HLTH213 - Anatomy of Head, Neck and Trunk","http://handbook.mq.edu.au/2019/Units/UGUnit/HLTH213","null"
"1560438267-2292","http://handbook.mq.edu.au/2019/Units/UGByCode","CRO280 - Intermediate Croatian Short Term Residential Program","http://handbook.mq.edu.au/2019/Units/UGUnit/CRO280","null"
"1560436166-88","http://handbook.mq.edu.au/2019/Units/UGByCode","TEP422 - Economics and Business Studies in the Secondary School II","http://handbook.mq.edu.au/2019/Units/UGUnit/TEP422","null"
"1560438110-2125","http://handbook.mq.edu.au/2019/Units/UGByCode","ECON335 - The Economics of Financial Institutions","http://handbook.mq.edu.au/2019/Units/UGUnit/ECON335","null"
"1560438060-2063","http://handbook.mq.edu.au/2019/Units/UGByCode","EDTE301 - Professional Experience in the Primary School 1","http://handbook.mq.edu.au/2019/Units/UGUnit/EDTE301","EDUC258"
"1560438008-1989","http://handbook.mq.edu.au/2019/Units/UGByCode","EDUC362 - Digital Creativity and Learning","http://handbook.mq.edu.au/2019/Units/UGUnit/EDUC362","null"
"1560437064-1052","http://handbook.mq.edu.au/2019/Units/UGByCode","MATH133 - Mathematics IB (Advanced)","http://handbook.mq.edu.au/2019/Units/UGUnit/MATH133","MATH135"
"1560437881-1803","http://handbook.mq.edu.au/2019/Units/UGByCode","ENGG411 - Engineering Research Thesis","http://handbook.mq.edu.au/2019/Units/UGUnit/ENGG411","null"
"1560437785-1674","http://handbook.mq.edu.au/2019/Units/UGByCode","ENVS339 - Fluvial Geomorphology and River Management","http://handbook.mq.edu.au/2019/Units/UGUnit/ENVS339","GEOS266"
"1560436769-735","http://handbook.mq.edu.au/2019/Units/UGByCode","MKTG306 - E-Marketing","http://handbook.mq.edu.au/2019/Units/UGUnit/MKTG306","STAT150"
"1560437427-1367","http://handbook.mq.edu.au/2019/Units/UGByCode","ITL306 - Italian Cinema","http://handbook.mq.edu.au/2019/Units/UGUnit/ITL306","null"
"1560436519-507","http://handbook.mq.edu.au/2019/Units/UGByCode","PLH331 - Advanced Polish Short Term Residential Program","http://handbook.mq.edu.au/2019/Units/UGUnit/PLH331","null"
"1560437573-1482","http://handbook.mq.edu.au/2019/Units/UGByCode","GMN415 - Advanced German IV","http://handbook.mq.edu.au/2019/Units/UGUnit/GMN415","null"
"1560438058-2059","http://handbook.mq.edu.au/2019/Units/UGByCode","EDTE302 - Introduction to Professional Experience in the Secondary School","http://handbook.mq.edu.au/2019/Units/UGUnit/EDTE302","EDUC105"
"1560437435-1374","http://handbook.mq.edu.au/2019/Units/UGByCode","ITL210 - Intermediate Italian I","http://handbook.mq.edu.au/2019/Units/UGUnit/ITL210","null"
"1560438554-2662","http://handbook.mq.edu.au/2019/Units/UGByCode","BIOL242 - Marine Environmental Issues","http://handbook.mq.edu.au/2019/Units/UGUnit/BIOL242","null"
"1560437020-957","http://handbook.mq.edu.au/2019/Units/UGByCode","MECH205 - Engineering Materials","http://handbook.mq.edu.au/2019/Units/UGUnit/MECH205","ENGG170"
"1560437114-1081","http://handbook.mq.edu.au/2019/Units/UGByCode","MAS213 - Screen Production 2","http://handbook.mq.edu.au/2019/Units/UGUnit/MAS213","null"
"1560437952-1905","http://handbook.mq.edu.au/2019/Units/UGByCode","ELEC324 - Feedback Control and Dynamic Systems","http://handbook.mq.edu.au/2019/Units/UGUnit/ELEC324","ELEC270"
"1560437931-1878","http://handbook.mq.edu.au/2019/Units/UGByCode","ELEC410 - Electronics Engineering Research Thesis A","http://handbook.mq.edu.au/2019/Units/UGUnit/ELEC410","null"
"1560436196-140","http://handbook.mq.edu.au/2019/Units/UGByCode","STAT373 - Design of Surveys and Experiments","http://handbook.mq.edu.au/2019/Units/UGUnit/STAT373","PSY248"
"1560437861-1780","http://handbook.mq.edu.au/2019/Units/UGByCode","ENGL204 - Medieval Literature: Dreams and Debates","http://handbook.mq.edu.au/2019/Units/UGUnit/ENGL204","null"
"1560438684-2790","http://handbook.mq.edu.au/2019/Units/UGByCode","AHIS371 - Egypt in the Old Kingdom","http://handbook.mq.edu.au/2019/Units/UGUnit/AHIS371","AHST260"
"1560436637-641","http://handbook.mq.edu.au/2019/Units/UGByCode","PHL351 - Social Philosophy","http://handbook.mq.edu.au/2019/Units/UGUnit/PHL351","null"
"1560438126-2142","http://handbook.mq.edu.au/2019/Units/UGByCode","ECON241 - Introductory Econometrics","http://handbook.mq.edu.au/2019/Units/UGUnit/ECON241","STAT150"
"1560438240-2268","http://handbook.mq.edu.au/2019/Units/UGByCode","CUL260 - Health, Bodies, Media","http://handbook.mq.edu.au/2019/Units/UGUnit/CUL260","null"
"1560438632-2736","http://handbook.mq.edu.au/2019/Units/UGByCode","ANTH300 - Pacific Cultures: Kings, Cannibals and Other Mysteries","http://handbook.mq.edu.au/2019/Units/UGUnit/ANTH300","null"
"1560438202-2246","http://handbook.mq.edu.au/2019/Units/UGByCode","ECH319 - The Arts in Education","http://handbook.mq.edu.au/2019/Units/UGUnit/ECH319","ECH129"
"1560438525-2590","http://handbook.mq.edu.au/2019/Units/UGByCode","BIOL369 - Vertebrate Evolution","http://handbook.mq.edu.au/2019/Units/UGUnit/BIOL369","BIOL229"
"1560438246-2271","http://handbook.mq.edu.au/2019/Units/UGByCode","CUL223 - Visual Countercultures: Graffiti, Kitsch and Conceptual Art","http://handbook.mq.edu.au/2019/Units/UGUnit/CUL223","null"
"1560436210-168","http://handbook.mq.edu.au/2019/Units/UGByCode","STAT273 - Introduction to Probability","http://handbook.mq.edu.au/2019/Units/UGUnit/STAT273","STAT170"
"1560436204-157","http://handbook.mq.edu.au/2019/Units/UGByCode","STAT302 - Graphics, Multivariate Methods and Data Mining","http://handbook.mq.edu.au/2019/Units/UGUnit/STAT302","PSY248"
"1560436439-397","http://handbook.mq.edu.au/2019/Units/UGByCode","PSY337 - Psychopathology","http://handbook.mq.edu.au/2019/Units/UGUnit/PSY337","null"
"1560436994-920","http://handbook.mq.edu.au/2019/Units/UGByCode","MECH468 - Wireless Mechatronics","http://handbook.mq.edu.au/2019/Units/UGUnit/MECH468","null"
"1560438566-2693","http://handbook.mq.edu.au/2019/Units/UGByCode","BIOL188 - Advanced Science (Biology) 1","http://handbook.mq.edu.au/2019/Units/UGUnit/BIOL188","null"
"1560436769-738","http://handbook.mq.edu.au/2019/Units/UGByCode","MKTG306 - E-Marketing","http://handbook.mq.edu.au/2019/Units/UGUnit/MKTG306","PSY122"
"1560437311-1266","http://handbook.mq.edu.au/2019/Units/UGByCode","LAWS499 - Professional and Community Engagement (PACE) On-Campus Consultancy","http://handbook.mq.edu.au/2019/Units/UGUnit/LAWS499","null"
"1560437325-1283","http://handbook.mq.edu.au/2019/Units/UGByCode","LAWS260 - Human Rights, Policy and the Law","http://handbook.mq.edu.au/2019/Units/UGUnit/LAWS260","LAW115"
"1560438321-2355","http://handbook.mq.edu.au/2019/Units/UGByCode","COMP329 - Artificial Intelligence","http://handbook.mq.edu.au/2019/Units/UGUnit/COMP329","COMP225"
"1560438305-2326","http://handbook.mq.edu.au/2019/Units/UGByCode","COMP347 - Computer Networks","http://handbook.mq.edu.au/2019/Units/UGUnit/COMP347","COMP125"
"1560436168-90","http://handbook.mq.edu.au/2019/Units/UGByCode","TEP421 - Economics and Business Studies in the Secondary School I","http://handbook.mq.edu.au/2019/Units/UGUnit/TEP421","null"
"1560436186-120","http://handbook.mq.edu.au/2019/Units/UGByCode","STAT395 - Biostatistics and Epidemiology","http://handbook.mq.edu.au/2019/Units/UGUnit/STAT395","PSY248"
"1560436553-536","http://handbook.mq.edu.au/2019/Units/UGByCode","PICT301 - Global and Strategic Issues in Criminology","http://handbook.mq.edu.au/2019/Units/UGUnit/PICT301","PICT103"
"1560437559-1466","http://handbook.mq.edu.au/2019/Units/UGByCode","HLTH215 - Principles in Health and Disease 1","http://handbook.mq.edu.au/2019/Units/UGUnit/HLTH215","BIOL115"
"1560436873-813","http://handbook.mq.edu.au/2019/Units/UGByCode","MGMT306 - Leadership and Influence in Action","http://handbook.mq.edu.au/2019/Units/UGUnit/MGMT306","null"
"1560436416-334","http://handbook.mq.edu.au/2019/Units/UGByCode","PSY399 - Psychological Science: Putting Theory into Practice","http://handbook.mq.edu.au/2019/Units/UGUnit/PSY399","PSY236"
"1560437797-1708","http://handbook.mq.edu.au/2019/Units/UGByCode","ENVS264 - Introduction to Geographic Information Science","http://handbook.mq.edu.au/2019/Units/UGUnit/ENVS264","COMP125"
"1560437062-1049","http://handbook.mq.edu.au/2019/Units/UGByCode","MATH135 - Mathematics IA","http://handbook.mq.edu.au/2019/Units/UGUnit/MATH135","WMAT123"
"1560438488-2539","http://handbook.mq.edu.au/2019/Units/UGByCode","BUSL305 - Global Trade Law","http://handbook.mq.edu.au/2019/Units/UGUnit/BUSL305","null"
"1560436709-677","http://handbook.mq.edu.au/2019/Units/UGByCode","MUS229 - Studies in Rhythm","http://handbook.mq.edu.au/2019/Units/UGUnit/MUS229","null"
"1560436495-498","http://handbook.mq.edu.au/2019/Units/UGByCode","POL206 - Modern Political Thought","http://handbook.mq.edu.au/2019/Units/UGUnit/POL206","null"
"1560436426-364","http://handbook.mq.edu.au/2019/Units/UGByCode","PSY349 - Design and Statistics III","http://handbook.mq.edu.au/2019/Units/UGUnit/PSY349","PSY248"
"1560437527-1433","http://handbook.mq.edu.au/2019/Units/UGByCode","HRM328 - Strategic Human Resources Management","http://handbook.mq.edu.au/2019/Units/UGUnit/HRM328","HRM201"
"1560436871-810","http://handbook.mq.edu.au/2019/Units/UGByCode","MGMT311 - Entrepreneurship Project","http://handbook.mq.edu.au/2019/Units/UGUnit/MGMT311","BBA350"
"1560438254-2280","http://handbook.mq.edu.au/2019/Units/UGByCode","CRO465 - Advanced Croatian IV","http://handbook.mq.edu.au/2019/Units/UGUnit/CRO465","CRO460"
"1560436280-246","http://handbook.mq.edu.au/2019/Units/UGByCode","SPH311 - Acquired Speech and Language Disorders","http://handbook.mq.edu.au/2019/Units/UGUnit/SPH311","LING214"
"1560438878-2983","http://handbook.mq.edu.au/2019/Units/UGByCode","ACST201 - Financial Modelling","http://handbook.mq.edu.au/2019/Units/UGUnit/ACST201","null"
"1560437299-1254","http://handbook.mq.edu.au/2019/Units/UGByCode","LAWS510 - International Trade and Finance","http://handbook.mq.edu.au/2019/Units/UGUnit/LAWS510","null"
"1560436653-649","http://handbook.mq.edu.au/2019/Units/UGByCode","PHL250 - Philosophy of Art and Literature","http://handbook.mq.edu.au/2019/Units/UGUnit/PHL250","null"
"1560436525-510","http://handbook.mq.edu.au/2019/Units/UGByCode","PLH324 - Advanced Polish","http://handbook.mq.edu.au/2019/Units/UGUnit/PLH324","PLH312"
"1560436649-647","http://handbook.mq.edu.au/2019/Units/UGByCode","PHL256 - Knowledge and its Limits","http://handbook.mq.edu.au/2019/Units/UGUnit/PHL256","null"
"1560437717-1609","http://handbook.mq.edu.au/2019/Units/UGByCode","FRN336 - Advanced French I","http://handbook.mq.edu.au/2019/Units/UGUnit/FRN336","null"
"1560438078-2087","http://handbook.mq.edu.au/2019/Units/UGByCode","EDST213 - Play-based Approaches to Early Childhood Learning and Development","http://handbook.mq.edu.au/2019/Units/UGUnit/EDST213","null"
"1560436262-230","http://handbook.mq.edu.au/2019/Units/UGByCode","SPN201 - Intermediate Spanish I","http://handbook.mq.edu.au/2019/Units/UGUnit/SPN201","null"
"1560437595-1501","http://handbook.mq.edu.au/2019/Units/UGByCode","GMN288 - Intermediate German II","http://handbook.mq.edu.au/2019/Units/UGUnit/GMN288","null"
"1560436252-220","http://handbook.mq.edu.au/2019/Units/UGByCode","SPN302 - Advanced Spanish II","http://handbook.mq.edu.au/2019/Units/UGUnit/SPN302","null"
"1560438611-2726","http://handbook.mq.edu.au/2019/Units/UGByCode","ANTH324 - Doing Ethnography","http://handbook.mq.edu.au/2019/Units/UGUnit/ANTH324","null"
"1560438854-2948","http://handbook.mq.edu.au/2019/Units/UGByCode","ACST359 - Actuarial Modelling","http://handbook.mq.edu.au/2019/Units/UGUnit/ACST359","ACST358"
"1560437519-1430","http://handbook.mq.edu.au/2019/Units/UGByCode","ICOM204 - International Communication Campaigns","http://handbook.mq.edu.au/2019/Units/UGUnit/ICOM204","null"
"1560437964-1939","http://handbook.mq.edu.au/2019/Units/UGByCode","ELEC275 - Nonlinear Circuits and Devices","http://handbook.mq.edu.au/2019/Units/UGUnit/ELEC275","ENGG270"
"1560437974-1962","http://handbook.mq.edu.au/2019/Units/UGByCode","ELEC241 - Programmable Logic Design","http://handbook.mq.edu.au/2019/Units/UGUnit/ELEC241","COMP115"
"1560438196-2238","http://handbook.mq.edu.au/2019/Units/UGByCode","ECH400 - Individual Educational Project","http://handbook.mq.edu.au/2019/Units/UGUnit/ECH400","ECH228"
"1560437875-1787","http://handbook.mq.edu.au/2019/Units/UGByCode","ENGG460 - Engineering Principles and Practice","http://handbook.mq.edu.au/2019/Units/UGUnit/ENGG460","ENGG300"
"1560437140-1100","http://handbook.mq.edu.au/2019/Units/UGByCode","LING390 - Current Issues in Phonology","http://handbook.mq.edu.au/2019/Units/UGUnit/LING390","LING217"
"1560438120-2135","http://handbook.mq.edu.au/2019/Units/UGByCode","ECON311 - Macroeconomic Policy","http://handbook.mq.edu.au/2019/Units/UGUnit/ECON311","ECON204"
"1560438518-2566","http://handbook.mq.edu.au/2019/Units/UGByCode","BIOL381 - Palaeobiology","http://handbook.mq.edu.au/2019/Units/UGUnit/BIOL381","GEOS226"
"1560436426-366","http://handbook.mq.edu.au/2019/Units/UGByCode","PSY349 - Design and Statistics III","http://handbook.mq.edu.au/2019/Units/UGUnit/PSY349","PSY235"
"1560438194-2236","http://handbook.mq.edu.au/2019/Units/UGByCode","ECH430 - Teaching and Learning Science and Technology","http://handbook.mq.edu.au/2019/Units/UGUnit/ECH430","null"
"1560437046-1027","http://handbook.mq.edu.au/2019/Units/UGByCode","MATH331 - Waves","http://handbook.mq.edu.au/2019/Units/UGUnit/MATH331","MATH232"
"1560436755-700","http://handbook.mq.edu.au/2019/Units/UGByCode","MKTG350 - Marketing and Management Law","http://handbook.mq.edu.au/2019/Units/UGUnit/MKTG350","null"
"1560437783-1670","http://handbook.mq.edu.au/2019/Units/UGByCode","ENVS340 - Environmental Change","http://handbook.mq.edu.au/2019/Units/UGUnit/ENVS340","GEOS266"
"1560437501-1424","http://handbook.mq.edu.au/2019/Units/UGByCode","INTS204 - Latin American Histories","http://handbook.mq.edu.au/2019/Units/UGUnit/INTS204","null"
"1560438367-2407","http://handbook.mq.edu.au/2019/Units/UGByCode","CHN385 - English-Chinese Translation II","http://handbook.mq.edu.au/2019/Units/UGUnit/CHN385","null"
"1560438429-2467","http://handbook.mq.edu.au/2019/Units/UGByCode","CHIR114 - Chiropractic Sciences 2","http://handbook.mq.edu.au/2019/Units/UGUnit/CHIR114","CHIR113"
"1560438626-2733","http://handbook.mq.edu.au/2019/Units/UGByCode","ANTH303 - Anthropology of the City","http://handbook.mq.edu.au/2019/Units/UGUnit/ANTH303","null"
"1560437238-1180","http://handbook.mq.edu.au/2019/Units/UGByCode","LAWS569 - International Environmental Law","http://handbook.mq.edu.au/2019/Units/UGUnit/LAWS569","null"
"1560438467-2522","http://handbook.mq.edu.au/2019/Units/UGByCode","CBMS200 - Analysis and Measurement","http://handbook.mq.edu.au/2019/Units/UGUnit/CBMS200","CBMS107"
"1560436765-722","http://handbook.mq.edu.au/2019/Units/UGByCode","MKTG308 - Customer Relationship Management","http://handbook.mq.edu.au/2019/Units/UGUnit/MKTG308","MKTG213"
"1560437527-1434","http://handbook.mq.edu.au/2019/Units/UGByCode","HRM328 - Strategic Human Resources Management","http://handbook.mq.edu.au/2019/Units/UGUnit/HRM328","HRM250"
"1560437789-1691","http://handbook.mq.edu.au/2019/Units/UGByCode","ENVS304 - Integrated Climate Science","http://handbook.mq.edu.au/2019/Units/UGUnit/ENVS304","GEOS325"
"1560437367-1328","http://handbook.mq.edu.au/2019/Units/UGByCode","JPS404 - Advanced Japanese IV","http://handbook.mq.edu.au/2019/Units/UGUnit/JPS404","JPS403"
"1560437881-1797","http://handbook.mq.edu.au/2019/Units/UGByCode","ENGG411 - Engineering Research Thesis","http://handbook.mq.edu.au/2019/Units/UGUnit/ENGG411","ELEC436"
"1560437946-1894","http://handbook.mq.edu.au/2019/Units/UGByCode","ELEC343 - Digital Systems Design","http://handbook.mq.edu.au/2019/Units/UGUnit/ELEC343","ELEC241"
"1560436368-317","http://handbook.mq.edu.au/2019/Units/UGByCode","RSN240 - Intermediate Russian Short Term Residential Program","http://handbook.mq.edu.au/2019/Units/UGUnit/RSN240","null"
"1560438425-2459","http://handbook.mq.edu.au/2019/Units/UGByCode","CHIR214 - Chiropractic Sciences 4","http://handbook.mq.edu.au/2019/Units/UGUnit/CHIR214","CHIR201"
"1560437645-1556","http://handbook.mq.edu.au/2019/Units/UGByCode","GEOS206 - Marine Sediments: Records of Past Earth","http://handbook.mq.edu.au/2019/Units/UGUnit/GEOS206","null"
"1560437022-966","http://handbook.mq.edu.au/2019/Units/UGByCode","MECH204 - Mechanics of Solids","http://handbook.mq.edu.au/2019/Units/UGUnit/MECH204","MATH133"
"1560436685-661","http://handbook.mq.edu.au/2019/Units/UGByCode","PERF201 - Performance and Circus Studies","http://handbook.mq.edu.au/2019/Units/UGUnit/PERF201","null"
"1560436144-59","http://handbook.mq.edu.au/2019/Units/UGByCode","TEP440 - Society and Culture in the Secondary School I","http://handbook.mq.edu.au/2019/Units/UGUnit/TEP440","null"
"1560438469-2528","http://handbook.mq.edu.au/2019/Units/UGByCode","CBMS188 - Advanced Chemistry and Biomolecular Science I","http://handbook.mq.edu.au/2019/Units/UGUnit/CBMS188","null"
"1560436621-633","http://handbook.mq.edu.au/2019/Units/UGByCode","PHL382 - Agency and the Self","http://handbook.mq.edu.au/2019/Units/UGUnit/PHL382","null"
"1560438154-2179","http://handbook.mq.edu.au/2019/Units/UGByCode","ECHP222 - Professional Experience 2","http://handbook.mq.edu.au/2019/Units/UGUnit/ECHP222","ACSH100"
"1560438024-2015","http://handbook.mq.edu.au/2019/Units/UGByCode","EDUC260 - Language, Literacy and Learning","http://handbook.mq.edu.au/2019/Units/UGUnit/EDUC260","EDUC106"
"1560436765-723","http://handbook.mq.edu.au/2019/Units/UGByCode","MKTG308 - Customer Relationship Management","http://handbook.mq.edu.au/2019/Units/UGUnit/MKTG308","null"
"1560437331-1295","http://handbook.mq.edu.au/2019/Units/UGByCode","LAWS250 - Crime, Policy and Governance","http://handbook.mq.edu.au/2019/Units/UGUnit/LAWS250","PICT101"
"1560437535-1446","http://handbook.mq.edu.au/2019/Units/UGByCode","HRM250 - Staffing Organisations","http://handbook.mq.edu.au/2019/Units/UGUnit/HRM250","null"
"1560437255-1197","http://handbook.mq.edu.au/2019/Units/UGByCode","LAWS555 - Remedies, Reparations and Resolution in Law","http://handbook.mq.edu.au/2019/Units/UGUnit/LAWS555","null"
"1560436897-838","http://handbook.mq.edu.au/2019/Units/UGByCode","MGK449 - Advanced Modern Greek IV","http://handbook.mq.edu.au/2019/Units/UGUnit/MGK449","MGK348"
"1560437785-1672","http://handbook.mq.edu.au/2019/Units/UGByCode","ENVS339 - Fluvial Geomorphology and River Management","http://handbook.mq.edu.au/2019/Units/UGUnit/ENVS339","ENVE266"
"1560436302-264","http://handbook.mq.edu.au/2019/Units/UGByCode","SOC350 - Activism and Social Change","http://handbook.mq.edu.au/2019/Units/UGUnit/SOC350","null"
"1560437279-1217","http://handbook.mq.edu.au/2019/Units/UGByCode","LAWS529 - Information Technology Law","http://handbook.mq.edu.au/2019/Units/UGUnit/LAWS529","null"
"1560436593-580","http://handbook.mq.edu.au/2019/Units/UGByCode","PHYS246 - Advanced Physics II","http://handbook.mq.edu.au/2019/Units/UGUnit/PHYS246","PHYS143"
"1560436459-465","http://handbook.mq.edu.au/2019/Units/UGByCode","PSY234 - Social and Personality Psychology","http://handbook.mq.edu.au/2019/Units/UGUnit/PSY234","PSYC104"
"1560438539-2613","http://handbook.mq.edu.au/2019/Units/UGByCode","BIOL328 - Animal Behaviour","http://handbook.mq.edu.au/2019/Units/UGUnit/BIOL328","BIOL260"
"1560438204-2250","http://handbook.mq.edu.au/2019/Units/UGByCode","ECH315 - Management and Leadership 1 - The Socio-Political Context of Teaching","http://handbook.mq.edu.au/2019/Units/UGUnit/ECH315","ACSH100"
"1560438391-2427","http://handbook.mq.edu.au/2019/Units/UGByCode","CHN232 - Intermediate Chinese I","http://handbook.mq.edu.au/2019/Units/UGUnit/CHN232","null"
"1560436198-143","http://handbook.mq.edu.au/2019/Units/UGByCode","STAT328 - Market Research and Forecasting","http://handbook.mq.edu.au/2019/Units/UGUnit/STAT328","STAT271"
"1560437901-1825","http://handbook.mq.edu.au/2019/Units/UGByCode","ELEC499 - Electrical Engineering Research Thesis B","http://handbook.mq.edu.au/2019/Units/UGUnit/ELEC499","null"
"1560437266-1207","http://handbook.mq.edu.au/2019/Units/UGByCode","LAWS540 - Local Government and Planning Law","http://handbook.mq.edu.au/2019/Units/UGUnit/LAWS540","POL207"
"1560438878-2979","http://handbook.mq.edu.au/2019/Units/UGByCode","ACST201 - Financial Modelling","http://handbook.mq.edu.au/2019/Units/UGUnit/ACST201","ACST101"
"1560437513-1427","http://handbook.mq.edu.au/2019/Units/UGByCode","INTS100 - Cultures, Languages and Communication","http://handbook.mq.edu.au/2019/Units/UGUnit/INTS100","null"
"1560438731-2824","http://handbook.mq.edu.au/2019/Units/UGByCode","AHIS318 - Latin C","http://handbook.mq.edu.au/2019/Units/UGUnit/AHIS318","AHST208"
"1560436597-589","http://handbook.mq.edu.au/2019/Units/UGByCode","PHYS221 - Introduction to Optical Science and Technology","http://handbook.mq.edu.au/2019/Units/UGUnit/PHYS221","PHYS106"
"1560436767-730","http://handbook.mq.edu.au/2019/Units/UGByCode","MKTG307 - Sales Management","http://handbook.mq.edu.au/2019/Units/UGUnit/MKTG307","MKTG204"
"1560438682-2785","http://handbook.mq.edu.au/2019/Units/UGByCode","AHIS372 - Egypt in the Middle Kingdom","http://handbook.mq.edu.au/2019/Units/UGUnit/AHIS372","AHIS280"
"1560437867-1785","http://handbook.mq.edu.au/2019/Units/UGByCode","ENGL121 - Creative Writing 1: An Introduction","http://handbook.mq.edu.au/2019/Units/UGUnit/ENGL121","ENGL120"
"1560437139-1098","http://handbook.mq.edu.au/2019/Units/UGByCode","LING399 - Language as Evidence","http://handbook.mq.edu.au/2019/Units/UGUnit/LING399","LING220"
"1560437184-1135","http://handbook.mq.edu.au/2019/Units/UGByCode","LING219 - Introduction to Sociolinguistics","http://handbook.mq.edu.au/2019/Units/UGUnit/LING219","SSC100"
"1560436875-815","http://handbook.mq.edu.au/2019/Units/UGByCode","MGMT305 - Problem Solving: Critical and Strategic Thinking","http://handbook.mq.edu.au/2019/Units/UGUnit/MGMT305","null"
"1560437040-1017","http://handbook.mq.edu.au/2019/Units/UGByCode","MATH336 - Partial Differential Equations","http://handbook.mq.edu.au/2019/Units/UGUnit/MATH336","null"
"1560437042-1020","http://handbook.mq.edu.au/2019/Units/UGByCode","MATH335 - Mathematical Methods","http://handbook.mq.edu.au/2019/Units/UGUnit/MATH335","MATH236"
"1560438467-2527","http://handbook.mq.edu.au/2019/Units/UGByCode","CBMS200 - Analysis and Measurement","http://handbook.mq.edu.au/2019/Units/UGUnit/CBMS200","null"
"1560437976-1965","http://handbook.mq.edu.au/2019/Units/UGByCode","ELEC240 - Signals and Systems","http://handbook.mq.edu.au/2019/Units/UGUnit/ELEC240","MATH136"
