web-scraper-order,web-scraper-start-url,faculties,faculties-href,courses,courses-href,conditions
"1560499312-4487","https://www.handbook.unsw.edu.au/","Faculty of Engineering","https://www.handbook.unsw.edu.au/FacultyOfEngineering/browse?id=5fa56ceb4f0093004aa6eb4f0310c7af","COMP3902
      12 UOC
      Special Project B","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/COMP3902/?browseByFaculty=FacultyOfEngineering&","Prerequisite: 80+ WAM in COMP, SENG or BINF courses, completion of all first and second year core requirements a CSE program, and agreement from a suitable CSE academic supervisor."
"1560499538-4599","https://www.handbook.unsw.edu.au/","Faculty of Engineering","https://www.handbook.unsw.edu.au/FacultyOfEngineering/browse?id=5fa56ceb4f0093004aa6eb4f0310c7af","BINF6111
      6 UOC
      Genome Informatics Engineering Design Workshop","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/BINF6111/?browseByFaculty=FacultyOfEngineering&","Prerequisite: (COMP1531 or COMP2041) and BINF3010"
"1560500243-4929","https://www.handbook.unsw.edu.au/","Faculty of Arts and Social Sciences","https://www.handbook.unsw.edu.au/FacultyOfArtsAndSocialSciences/browse?id=d7a56ceb4f0093004aa6eb4f0310c7ac","MUSC2111
      6 UOC
      Introduction to Musicology","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/MUSC2111/?browseByFaculty=FacultyOfArtsAndSocialSciences&","Prerequisite: 30 uoc at Level 1 including MUSC1001 and MUSC1312; Excluded: MUSC1101"
"1560498978-4322","https://www.handbook.unsw.edu.au/","Faculty of Engineering","https://www.handbook.unsw.edu.au/FacultyOfEngineering/browse?id=5fa56ceb4f0093004aa6eb4f0310c7af","ELEC4601
      6 UOC
      Digital and Embedded Systems Design","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ELEC4601/?browseByFaculty=FacultyOfEngineering&","Prereq: ELEC3106"
"1560499790-4720","https://www.handbook.unsw.edu.au/","Faculty of Built Environment","https://www.handbook.unsw.edu.au/FacultyOfBuiltEnvironment/browse?id=5fa56ceb4f0093004aa6eb4f0310c7ae","IDES2101
      12 UOC
      Design Studio 3: Production","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/IDES2101/?browseByFaculty=FacultyOfBuiltEnvironment&","Prerequisite:  IDES1201 & IDES1202"
"1560497889-3830","https://www.handbook.unsw.edu.au/","Faculty of Science","https://www.handbook.unsw.edu.au/FacultyOfScience/browse?id=57a56ceb4f0093004aa6eb4f0310c7ae","CHEM3061
      6 UOC
      Chemistry of Materials","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/CHEM3061/?browseByFaculty=FacultyOfScience&","Prerequisite: CHEM2011"
"1560501210-5405","https://www.handbook.unsw.edu.au/","Faculty of Arts and Social Sciences","https://www.handbook.unsw.edu.au/FacultyOfArtsAndSocialSciences/browse?id=d7a56ceb4f0093004aa6eb4f0310c7ac","ARTS2242
      6 UOC
      The Politics of Climate Change","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ARTS2242/?browseByFaculty=FacultyOfArtsAndSocialSciences&","Prerequisite: 24 units of credit at Level 1"
"1560499923-4786","https://www.handbook.unsw.edu.au/","Faculty of Built Environment","https://www.handbook.unsw.edu.au/FacultyOfBuiltEnvironment/browse?id=5fa56ceb4f0093004aa6eb4f0310c7ae","BENV7020
      6 UOC
      Research Seminar","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/BENV7020/?browseByFaculty=FacultyOfBuiltEnvironment&","null"
"1560500361-4987","https://www.handbook.unsw.edu.au/","Faculty of Arts and Social Sciences","https://www.handbook.unsw.edu.au/FacultyOfArtsAndSocialSciences/browse?id=d7a56ceb4f0093004aa6eb4f0310c7ac","EDST6953
      6 UOC
      Physics Method 2","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/EDST6953/?browseByFaculty=FacultyOfArtsAndSocialSciences&","Prerequisite: EDST6923. Corerequisite: EDST6760"
"1560501857-5721","https://www.handbook.unsw.edu.au/","Faculty of Art & Design","https://www.handbook.unsw.edu.au/FacultyOfArtDesign/browse?id=57a56ceb4f0093004aa6eb4f0310c7af","ADAD4001
      6 UOC
      Professional Experience Project B","https://www.handbook.unsw.edu.au/Undergraduate/courses/2019/ADAD4001/?browseByFaculty=FacultyOfArtDesign&","Must have completed either SART3800, SDES2116, SOMA3616."
